state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-06-19,Parts per million,None,24,100.0,Y,0.023125,0.035,9,32.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-06-19,Parts per million,None,17,100.0,Y,0.025118,0.035,9,32.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-06-20,Parts per million,None,24,100.0,Y,0.023667,0.036,9,,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-06-20,Parts per million,None,24,100.0,Y,0.023542,0.033,8,31.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-06-20,Parts per million,None,24,100.0,Y,0.023542,0.033,8,31.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-06-20,Parts per million,None,17,100.0,Y,0.025059,0.033,8,31.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-06-21,Parts per million,None,24,100.0,Y,0.029125,0.044,13,,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-06-21,Parts per million,None,24,100.0,Y,0.03025,0.039,9,36.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-06-21,Parts per million,None,24,100.0,Y,0.03025,0.039,9,36.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-06-21,Parts per million,None,17,100.0,Y,0.032765,0.039,9,36.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
